,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
MMM,0.0,0.67,0.67,0.5,0.17,0.67,0.5,0.33,0.67,0.5,0.67,0.67,0.83,0.67,0.33,0.83,0.5,0.67,1.0,0.17,0.83,0.33,0.5,0.33,0.33,0.5,0.67,0.33,0.33,0.67
AXP,0.67,0.0,0.33,0.83,0.5,0.33,0.17,0.67,0.33,0.17,1.0,0.33,0.5,0.33,0.33,0.5,0.17,0.67,0.67,0.17,0.5,0.67,0.83,0.67,0.33,0.83,0.33,0.67,0.67,0.33
AAPL,0.67,0.33,0.0,0.17,0.5,0.33,0.83,0.33,0.33,0.5,0.33,0.33,0.83,0.67,0.67,0.83,0.5,0.33,0.67,0.5,0.83,0.33,0.5,0.0,0.67,0.17,0.67,0.33,0.33,1.0
BA,0.5,0.83,0.17,0.0,0.33,0.5,0.0,0.5,0.5,0.33,0.83,0.5,0.33,0.17,0.17,0.33,0.33,0.83,0.5,0.33,0.33,0.5,0.67,0.83,0.17,1.0,0.17,0.5,0.83,0.17
CAT,0.17,0.5,0.5,0.33,0.0,0.17,0.67,0.83,0.17,0.33,0.5,0.17,0.33,0.5,0.83,0.33,0.33,0.17,0.17,0.67,0.33,0.83,0.67,0.5,0.83,0.33,0.5,0.83,0.5,0.5
CVX,0.67,0.33,0.33,0.5,0.17,0.0,0.5,0.33,1.0,0.83,0.33,1.0,0.5,0.67,0.33,0.5,0.83,0.67,0.67,0.5,0.5,0.33,0.17,0.67,0.33,0.5,0.67,0.33,0.33,0.33
CSCO,0.5,0.17,0.83,0.0,0.67,0.5,0.0,0.5,0.5,0.67,0.17,0.5,0.67,0.83,0.83,0.67,0.67,0.17,0.5,0.67,0.67,0.5,0.33,0.17,0.83,0.0,0.83,0.5,0.17,0.83
KO,0.33,0.67,0.33,0.5,0.83,0.33,0.5,0.0,0.33,0.17,0.67,0.33,0.5,0.33,0.67,0.5,0.5,0.33,0.33,0.5,0.5,1.0,0.5,0.67,0.67,0.5,0.33,0.67,0.33,0.33
DD,0.67,0.33,0.33,0.5,0.17,1.0,0.5,0.33,0.0,0.83,0.33,1.0,0.5,0.67,0.33,0.5,0.83,0.67,0.67,0.5,0.5,0.33,0.17,0.67,0.33,0.5,0.67,0.33,0.33,0.33
XOM,0.5,0.17,0.5,0.33,0.33,0.83,0.67,0.17,0.83,0.0,0.17,0.83,0.33,0.83,0.5,0.33,0.67,0.5,0.5,0.67,0.33,0.17,0.33,0.5,0.5,0.33,0.83,0.5,0.5,0.5
GE,0.67,1.0,0.33,0.83,0.5,0.33,0.17,0.67,0.33,0.17,0.0,0.33,0.5,0.33,0.33,0.5,0.17,0.67,0.67,0.17,0.5,0.67,0.83,0.67,0.33,0.83,0.33,0.67,0.67,0.33
GS,0.67,0.33,0.33,0.5,0.17,1.0,0.5,0.33,1.0,0.83,0.33,0.0,0.5,0.67,0.33,0.5,0.83,0.67,0.67,0.5,0.5,0.33,0.17,0.67,0.33,0.5,0.67,0.33,0.33,0.33
HD,0.83,0.5,0.83,0.33,0.33,0.5,0.67,0.5,0.5,0.33,0.5,0.5,0.0,0.5,0.5,1.0,0.67,0.5,0.83,0.33,1.0,0.5,0.33,0.17,0.5,0.33,0.5,0.17,0.17,0.83
IBM,0.67,0.33,0.67,0.17,0.5,0.67,0.83,0.33,0.67,0.83,0.33,0.67,0.5,0.0,0.67,0.5,0.5,0.33,0.67,0.5,0.5,0.33,0.5,0.33,0.67,0.17,1.0,0.67,0.33,0.67
INTC,0.33,0.33,0.67,0.17,0.83,0.33,0.83,0.67,0.33,0.5,0.33,0.33,0.5,0.67,0.0,0.5,0.5,0.0,0.33,0.83,0.5,0.67,0.5,0.33,1.0,0.17,0.67,0.67,0.33,0.67
JNJ,0.83,0.5,0.83,0.33,0.33,0.5,0.67,0.5,0.5,0.33,0.5,0.5,1.0,0.5,0.5,0.0,0.67,0.5,0.83,0.33,1.0,0.5,0.33,0.17,0.5,0.33,0.5,0.17,0.17,0.83
JPM,0.5,0.17,0.5,0.33,0.33,0.83,0.67,0.5,0.83,0.67,0.17,0.83,0.67,0.5,0.5,0.67,0.0,0.5,0.5,0.67,0.67,0.5,0.0,0.5,0.5,0.33,0.5,0.17,0.17,0.5
MCD,0.67,0.67,0.33,0.83,0.17,0.67,0.17,0.33,0.67,0.5,0.67,0.67,0.5,0.33,0.0,0.5,0.5,0.0,0.67,0.17,0.5,0.33,0.5,0.67,0.0,0.83,0.33,0.33,0.67,0.33
MRK,1.0,0.67,0.67,0.5,0.17,0.67,0.5,0.33,0.67,0.5,0.67,0.67,0.83,0.67,0.33,0.83,0.5,0.67,0.0,0.17,0.83,0.33,0.5,0.33,0.33,0.5,0.67,0.33,0.33,0.67
MSFT,0.17,0.17,0.5,0.33,0.67,0.5,0.67,0.5,0.5,0.67,0.17,0.5,0.33,0.5,0.83,0.33,0.67,0.17,0.17,0.0,0.33,0.5,0.33,0.5,0.83,0.33,0.5,0.5,0.5,0.5
NKE,0.83,0.5,0.83,0.33,0.33,0.5,0.67,0.5,0.5,0.33,0.5,0.5,1.0,0.5,0.5,1.0,0.67,0.5,0.83,0.33,0.0,0.5,0.33,0.17,0.5,0.33,0.5,0.17,0.17,0.83
PFE,0.33,0.67,0.33,0.5,0.83,0.33,0.5,1.0,0.33,0.17,0.67,0.33,0.5,0.33,0.67,0.5,0.5,0.33,0.33,0.5,0.5,0.0,0.5,0.67,0.67,0.5,0.33,0.67,0.33,0.33
PG,0.5,0.83,0.5,0.67,0.67,0.17,0.33,0.5,0.17,0.33,0.83,0.17,0.33,0.5,0.5,0.33,0.0,0.5,0.5,0.33,0.33,0.5,0.0,0.5,0.5,0.67,0.5,0.83,0.83,0.5
TRV,0.33,0.67,0.0,0.83,0.5,0.67,0.17,0.67,0.67,0.5,0.67,0.67,0.17,0.33,0.33,0.17,0.5,0.67,0.33,0.5,0.17,0.67,0.5,0.0,0.33,0.83,0.33,0.67,0.67,0.0
UNH,0.33,0.33,0.67,0.17,0.83,0.33,0.83,0.67,0.33,0.5,0.33,0.33,0.5,0.67,1.0,0.5,0.5,0.0,0.33,0.83,0.5,0.67,0.5,0.33,0.0,0.17,0.67,0.67,0.33,0.67
UTX,0.5,0.83,0.17,1.0,0.33,0.5,0.0,0.5,0.5,0.33,0.83,0.5,0.33,0.17,0.17,0.33,0.33,0.83,0.5,0.33,0.33,0.5,0.67,0.83,0.17,0.0,0.17,0.5,0.83,0.17
VZ,0.67,0.33,0.67,0.17,0.5,0.67,0.83,0.33,0.67,0.83,0.33,0.67,0.5,1.0,0.67,0.5,0.5,0.33,0.67,0.5,0.5,0.33,0.5,0.33,0.67,0.17,0.0,0.67,0.33,0.67
V,0.33,0.67,0.33,0.5,0.83,0.33,0.5,0.67,0.33,0.5,0.67,0.33,0.17,0.67,0.67,0.17,0.17,0.33,0.33,0.5,0.17,0.67,0.83,0.67,0.67,0.5,0.67,0.0,0.67,0.33
WMT,0.33,0.67,0.33,0.83,0.5,0.33,0.17,0.33,0.33,0.5,0.67,0.33,0.17,0.33,0.33,0.17,0.17,0.67,0.33,0.5,0.17,0.33,0.83,0.67,0.33,0.83,0.33,0.67,0.0,0.33
DIS,0.67,0.33,1.0,0.17,0.5,0.33,0.83,0.33,0.33,0.5,0.33,0.33,0.83,0.67,0.67,0.83,0.5,0.33,0.67,0.5,0.83,0.33,0.5,0.0,0.67,0.17,0.67,0.33,0.33,0.0
